               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11425,            0.057667,            0.029443,            0.017302,             0.13279,            0.012575,           0.0023315,            0.074773,            0.056863,            0.020904,               6e-05,               6e-05,             0.09946
                   1,             0.11702,            0.062619,            0.030904,             0.02269,             0.25028,            0.016893,           0.0029421,            0.071054,            0.059924,              0.0205,             0.00013,             0.00013,             0.09883
                   2,             0.10826,            0.069665,            0.029446,            0.030212,             0.19929,            0.023438,           0.0041802,            0.066047,            0.064356,            0.020116,          0.00019998,          0.00019998,              0.0982
                   3,            0.096255,            0.061688,            0.027745,            0.047854,             0.25723,              0.0387,           0.0073151,            0.059515,            0.070589,             0.01971,          0.00026994,          0.00026994,             0.09757
                   4,            0.087483,            0.073301,            0.027811,            0.069267,             0.32204,            0.064402,            0.012362,            0.053868,            0.075281,            0.019236,          0.00033987,          0.00033987,             0.09694
                   5,            0.078928,            0.079008,            0.026472,             0.11557,             0.29482,             0.09887,            0.021366,            0.049678,            0.076907,            0.018704,          0.00040975,          0.00040975,             0.09631
                   6,            0.075965,            0.075787,            0.025595,             0.17768,             0.41426,              0.1744,            0.039338,            0.045363,            0.076725,             0.01808,          0.00047957,          0.00047957,             0.09568
                   7,              0.0715,            0.077076,            0.025682,             0.24476,             0.51997,             0.25556,             0.06565,            0.042192,            0.073552,            0.017408,          0.00054934,          0.00054934,            0.095049
                   8,            0.067435,            0.072562,            0.025621,             0.25414,              0.6035,             0.32512,            0.095789,            0.040254,            0.069354,            0.016632,          0.00061902,          0.00061902,            0.094419
                   9,            0.064021,            0.070739,            0.022905,             0.23971,             0.67335,             0.36264,             0.11542,            0.038052,            0.067293,             0.01582,          0.00068862,          0.00068862,            0.093789
                  10,            0.060017,            0.064038,            0.021764,             0.23857,              0.6819,             0.41262,              0.1399,            0.036302,            0.067414,            0.015134,          0.00075813,          0.00075813,            0.093158
                  11,            0.054337,            0.062086,            0.020785,             0.80467,             0.42055,             0.43766,             0.17013,             0.03347,            0.066246,            0.014656,          0.00082752,          0.00082752,            0.092528
                  12,            0.056164,            0.058591,              0.0234,             0.23868,              0.6411,             0.28592,            0.087046,            0.034719,            0.064466,            0.014384,          0.00089681,          0.00089681,            0.091897
                  13,            0.050612,            0.057281,            0.020474,             0.81224,             0.41432,             0.44038,             0.15655,            0.030854,            0.059844,            0.014232,          0.00096596,          0.00096596,            0.091266
                  14,            0.052209,            0.056587,            0.023047,             0.24537,             0.70575,             0.36728,             0.11178,            0.033522,            0.061347,            0.014099,            0.001035,            0.001035,            0.090635
                  15,            0.048234,            0.058981,            0.021603,             0.27069,             0.68626,             0.33463,             0.13749,            0.031632,            0.057133,            0.014012,           0.0011039,           0.0011039,            0.090004
                  16,            0.046955,            0.057432,            0.020545,             0.30864,             0.68876,             0.41604,             0.16042,            0.031171,            0.053789,             0.01397,           0.0011726,           0.0011726,            0.089373
                  17,            0.048877,            0.052763,            0.023432,             0.33614,             0.65983,              0.3797,             0.14331,            0.028944,            0.051423,            0.013952,           0.0012411,           0.0012411,            0.088741
                  18,            0.047501,            0.050564,            0.020604,             0.25956,             0.77377,             0.44451,              0.1754,            0.033002,            0.048993,             0.01389,           0.0013095,           0.0013095,            0.088109
                  19,            0.043952,            0.052764,            0.019993,             0.25019,             0.85542,             0.41998,             0.17135,            0.031775,            0.049876,              0.0138,           0.0013777,           0.0013777,            0.087478
                  20,            0.044433,            0.050981,            0.020809,             0.35819,             0.64622,             0.44748,             0.17438,             0.02563,            0.047529,            0.013837,           0.0014456,           0.0014456,            0.086846
                  21,            0.045173,            0.053149,            0.020288,             0.30179,             0.81071,             0.43404,             0.15519,            0.031693,             0.04808,             0.01383,           0.0015134,           0.0015134,            0.086213
                  22,            0.044559,            0.048009,            0.020321,             0.27735,             0.89794,             0.44502,             0.18239,            0.036897,            0.045655,            0.013826,            0.001581,            0.001581,            0.085581
                  23,            0.041733,            0.047847,            0.019955,               0.361,             0.92175,             0.51574,               0.205,            0.026881,            0.045139,            0.013734,           0.0016483,           0.0016483,            0.084948
                  24,            0.055244,            0.046074,             0.02262,             0.22034,             0.63859,             0.39328,             0.17205,            0.037139,            0.043414,            0.013725,           0.0017154,           0.0017154,            0.084315
                  25,            0.051682,            0.048896,            0.022107,             0.23275,             0.74998,             0.41211,             0.15799,            0.031179,            0.045288,            0.013702,           0.0017822,           0.0017822,            0.083682
                  26,             0.04771,            0.051867,            0.020395,             0.30986,             0.90848,             0.44579,             0.22599,            0.026739,            0.043835,            0.013665,           0.0018488,           0.0018488,            0.083049
                  27,            0.052293,             0.04887,             0.02028,             0.21686,             0.69012,             0.39689,            0.087456,            0.039579,            0.043632,            0.013658,           0.0019152,           0.0019152,            0.082415
                  28,            0.049892,            0.045779,            0.020603,             0.21594,             0.94727,             0.40809,             0.22125,            0.030045,            0.042913,             0.01364,           0.0019812,           0.0019812,            0.081781
