               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11323,            0.028326,            0.080644,                   0,                   0,                   0,                   0,             0.11099,            0.025204,            0.084087,             0.00068,             0.00068,             0.09388
                   1,             0.10295,            0.026334,            0.079134,                   0,                   0,                   0,                   0,            0.094652,            0.024829,            0.083229,             0.00137,             0.00137,             0.08767
                   2,            0.091639,             0.02634,            0.078455,                   0,                   0,                   0,                   0,            0.082521,            0.024354,            0.082497,           0.0020599,           0.0020599,             0.08146
                   3,             0.08542,            0.026234,             0.07981,                   0,                   0,                   0,                   0,            0.074727,            0.023507,            0.081308,           0.0027498,           0.0027498,             0.07525
                   4,            0.075444,            0.024873,            0.077988,                   0,                   0,                   0,                   0,            0.067805,            0.023008,             0.08044,           0.0034397,           0.0034397,             0.06904
                   5,            0.072203,            0.025143,            0.078147,           0.0051654,            0.066518,           0.0050821,           0.0014708,            0.062665,             0.02218,            0.079671,           0.0041294,           0.0041294,            0.062829
                   6,            0.069974,            0.025927,            0.076281,          0.00031872,           0.0029762,          0.00038692,          0.00019346,            0.066736,            0.020724,            0.079005,           0.0048189,           0.0048189,            0.056619
                   7,            0.071949,            0.024418,            0.076815,           0.0071217,            0.073413,           0.0092761,           0.0036957,            0.063777,             0.01986,            0.078733,           0.0055083,           0.0055083,            0.050408
                   8,            0.061775,            0.024803,            0.073058,            0.009507,            0.030093,            0.006404,            0.002158,            0.051452,            0.021411,            0.077777,           0.0061976,           0.0061976,            0.044198
                   9,            0.054229,            0.026167,            0.072283,            0.025119,             0.24401,            0.045953,            0.021037,            0.048071,            0.020618,            0.076972,           0.0068866,           0.0068866,            0.037987
                  10,            0.059583,            0.024627,            0.072486,            0.020991,             0.27067,             0.06029,            0.027816,             0.07335,            0.015445,            0.076437,           0.0075753,           0.0075753,            0.031775
                  11,            0.061115,            0.021378,            0.072023,             0.49465,             0.17839,             0.07014,            0.026349,            0.052663,            0.018244,            0.075573,           0.0082638,           0.0082638,            0.025564
