               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032872,            0.055223,            0.014378,             0.89849,             0.96848,             0.96433,              0.5664,            0.026836,            0.040979,           0.0035208,             0.00024,             0.00024,             0.09784
                   1,            0.030131,            0.049264,            0.011254,             0.94172,             0.96319,             0.97908,             0.60124,            0.025485,            0.037161,           0.0021465,          0.00048999,          0.00048999,             0.09559
                   2,            0.029255,            0.045652,            0.010941,             0.95953,             0.96669,             0.98081,             0.63023,            0.024344,            0.033025,           0.0018022,          0.00073993,          0.00073993,             0.09334
                   3,            0.026592,            0.038706,           0.0058622,             0.98171,             0.96485,             0.98891,             0.63969,            0.023551,             0.03005,           0.0012409,          0.00098978,          0.00098978,             0.09109
                   4,            0.027542,             0.03964,           0.0062622,             0.98239,             0.98597,             0.99274,              0.6532,            0.022925,            0.028097,          0.00093871,           0.0012395,           0.0012395,             0.08884
                   5,            0.026084,            0.036812,           0.0038911,             0.98923,             0.98595,             0.99355,             0.66872,            0.022311,            0.026451,          0.00075909,           0.0014891,           0.0014891,            0.086589
                   6,            0.025697,            0.035281,           0.0056128,             0.98234,             0.99124,             0.99398,             0.67643,            0.021732,            0.025586,            0.001002,           0.0017385,           0.0017385,            0.084338
                   7,            0.025114,            0.030608,           0.0035785,             0.98948,             0.99687,             0.99407,             0.67923,             0.02137,            0.024839,          0.00055937,           0.0019876,           0.0019876,            0.082088
                   8,             0.02431,             0.03254,           0.0042237,             0.98278,             0.99863,             0.99393,             0.69013,            0.020884,            0.024271,          0.00071085,           0.0022365,           0.0022365,            0.079836
                   9,            0.024223,            0.033023,           0.0029066,             0.95884,             0.97652,             0.99031,             0.68299,            0.020847,            0.023807,           0.0020118,            0.002485,            0.002485,            0.077585
                  10,             0.02366,            0.032844,           0.0033141,             0.99297,             0.98946,             0.99383,             0.70203,             0.02061,            0.023377,          0.00076303,           0.0027332,           0.0027332,            0.075333
                  11,            0.023965,             0.03039,           0.0029215,             0.98633,                   1,             0.99412,              0.7049,            0.020199,            0.022819,          0.00050247,           0.0029811,           0.0029811,            0.073081
                  12,            0.022962,              0.0292,           0.0034522,             0.96031,             0.94556,             0.98479,             0.70127,            0.020354,            0.023116,           0.0029318,           0.0032285,           0.0032285,            0.070829
                  13,            0.023874,            0.029692,           0.0040773,             0.97288,             0.98844,              0.9932,             0.72209,            0.019656,            0.022631,           0.0010069,           0.0034755,           0.0034755,            0.068575
                  14,            0.022717,            0.032498,           0.0030627,             0.99652,              0.9985,             0.99381,             0.72651,            0.019104,            0.022166,            0.000316,           0.0037219,           0.0037219,            0.066322
                  15,            0.022006,            0.030112,           0.0024562,             0.99651,             0.99933,             0.99362,             0.73231,            0.018982,            0.021884,          0.00032461,           0.0039679,           0.0039679,            0.064068
                  16,            0.022674,            0.031952,           0.0023155,             0.99616,             0.99998,             0.99365,             0.73979,            0.018545,            0.021636,          0.00029066,           0.0042133,           0.0042133,            0.061813
                  17,            0.022725,            0.028658,           0.0026984,             0.99542,                   1,             0.99379,             0.73724,            0.019098,            0.021652,          0.00031782,           0.0044581,           0.0044581,            0.059558
                  18,            0.021996,            0.030036,            0.002097,             0.99644,                   1,              0.9937,             0.73809,            0.018372,            0.021183,          0.00028416,           0.0047022,           0.0047022,            0.057302
                  19,            0.023275,            0.030772,            0.003047,             0.99116,                   1,             0.99357,             0.74427,            0.017975,            0.020902,          0.00026945,           0.0049457,           0.0049457,            0.055046
                  20,            0.021971,            0.029268,           0.0020937,             0.99415,             0.99472,             0.99316,              0.7607,            0.018104,            0.021124,           0.0004561,           0.0051885,           0.0051885,            0.052788
                  21,            0.022225,            0.030325,           0.0020124,             0.99315,             0.99474,             0.99237,             0.76042,            0.017845,             0.02114,          0.00053696,           0.0054305,           0.0054305,            0.050531
                  22,            0.022932,            0.028783,           0.0021626,              0.9964,                   1,             0.99395,              0.7217,            0.020809,            0.021805,          0.00025686,           0.0056718,           0.0056718,            0.048272
                  23,            0.025124,              0.0288,           0.0027538,             0.99686,                   1,             0.99387,             0.74604,            0.019541,            0.021601,          0.00027617,           0.0059122,           0.0059122,            0.046012
                  24,            0.023521,            0.028368,           0.0027079,             0.99474,             0.99474,             0.99353,             0.76209,            0.018101,            0.020728,          0.00050749,           0.0061518,           0.0061518,            0.043752
                  25,            0.023751,            0.029235,           0.0031903,             0.99824,             0.99825,             0.99395,             0.74061,            0.019895,            0.020958,          0.00035574,           0.0063905,           0.0063905,             0.04149
                  26,            0.026607,            0.030408,           0.0030874,             0.99714,             0.99825,              0.9939,              0.6807,            0.024776,            0.022194,          0.00052317,           0.0066283,           0.0066283,            0.039228
                  27,            0.031449,            0.031501,           0.0032477,             0.99292,             0.99476,             0.99342,              0.7465,            0.019768,            0.020883,          0.00073935,           0.0068651,           0.0068651,            0.036965
                  28,            0.024552,            0.028388,           0.0033761,             0.99793,                   1,             0.99399,              0.7526,            0.021583,            0.021512,          0.00039911,           0.0071009,           0.0071009,            0.034701
                  29,            0.028164,            0.032001,           0.0027223,             0.99808,             0.99999,             0.99397,             0.66987,            0.026971,            0.022294,          0.00045476,           0.0073358,           0.0073358,            0.032436
                  30,            0.027122,            0.028926,           0.0023796,             0.98805,             0.99634,             0.99396,             0.74634,            0.021744,            0.022214,          0.00078392,           0.0075695,           0.0075695,             0.03017
                  31,            0.025313,            0.027897,           0.0025637,             0.99552,                   1,              0.9939,             0.71526,            0.023869,            0.021528,          0.00053124,           0.0078022,           0.0078022,            0.027902
                  32,            0.026297,            0.028544,            0.002443,             0.99814,                   1,             0.99411,               0.733,            0.022198,            0.022631,          0.00050149,           0.0080337,           0.0080337,            0.025634
                  33,            0.028778,            0.033153,            0.002041,              0.9969,                   1,             0.99434,             0.69969,            0.025114,            0.024408,           0.0005018,           0.0082641,           0.0082641,            0.023364
                  34,             0.03366,            0.039918,            0.002495,             0.99817,             0.99814,             0.99484,             0.61386,            0.022647,            0.027139,          0.00062419,           0.0084933,           0.0084933,            0.021093
                  35,            0.028133,            0.034066,           0.0024222,             0.99625,                   1,             0.99479,             0.73285,            0.020173,            0.022357,            0.000662,           0.0087213,           0.0087213,            0.018821
                  36,            0.025501,             0.03157,           0.0039159,             0.99236,              0.9965,             0.99385,             0.72229,            0.021692,            0.022281,          0.00079028,            0.008948,            0.008948,            0.016548
                  37,            0.031141,            0.033807,           0.0022472,             0.99054,             0.98421,              0.9931,             0.55808,            0.030313,            0.024736,           0.0010358,           0.0091734,           0.0091734,            0.014273
                  38,            0.035119,            0.034069,           0.0023838,             0.99082,             0.98421,             0.99297,             0.54448,            0.030215,            0.026811,             0.00114,           0.0093975,           0.0093975,            0.011998
