               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10748,            0.069456,             0.15938,             0.10276,          0.00095238,          0.00094762,          0.00018952,            0.073188,             0.10174,             0.15536,             0.00313,             0.00313,             0.07183
                   1,            0.067476,            0.054513,             0.15749,            0.067984,            0.029218,          0.00054402,          0.00020238,            0.059629,            0.038481,             0.15665,             0.00627,             0.00627,             0.04357
                   2,            0.058777,            0.035635,             0.15542,          0.00037793,            0.045833,          0.00064049,          0.00023485,             0.04248,            0.034182,             0.15503,             0.00941,             0.00941,             0.01531
                   3,            0.052182,            0.030829,             0.15469,          0.00035303,            0.051268,          0.00068479,          0.00041139,            0.038373,            0.029567,             0.15453,                0.01,                0.01,                0.01
                   4,             0.04268,            0.027533,              0.1544,          0.00050802,            0.043372,          0.00076574,          0.00047256,            0.036751,            0.027248,             0.15421,                0.01,                0.01,                0.01
                   5,            0.035698,            0.025077,             0.15414,          0.00067353,            0.034466,           0.0013653,          0.00081915,            0.033234,            0.025363,             0.15404,                0.01,                0.01,                0.01
                   6,            0.030835,            0.023893,             0.15403,          0.00025992,            0.016539,          0.00078678,          0.00061692,            0.024527,             0.02375,             0.15393,           0.0099999,           0.0099999,           0.0099999
                   7,            0.027921,             0.02276,             0.15378,          0.00032484,            0.023021,          0.00069723,          0.00057843,             0.01959,            0.020342,             0.15383,           0.0099999,           0.0099999,           0.0099999
                   8,             0.02631,            0.022454,             0.15384,          0.00039524,            0.014584,          0.00066245,          0.00055818,            0.022036,            0.023568,             0.15378,           0.0099999,           0.0099999,           0.0099999
                   9,            0.026863,            0.022537,             0.15383,          0.00024869,            0.010343,          0.00032387,          0.00027361,            0.018857,            0.020576,             0.15372,           0.0099999,           0.0099999,           0.0099999
                  10,            0.025372,            0.021808,             0.15372,          0.00046013,            0.011568,          0.00051919,          0.00039632,            0.021263,            0.021698,             0.15366,           0.0099998,           0.0099998,           0.0099998
                  11,            0.022864,            0.021016,             0.15353,          0.00029758,            0.015444,          0.00039422,           0.0003491,            0.015704,            0.020116,             0.15362,           0.0099998,           0.0099998,           0.0099998
                  12,            0.021189,            0.020975,             0.15366,          0.00080476,             0.01418,          0.00068529,          0.00061032,            0.019566,            0.023184,             0.15357,           0.0099997,           0.0099997,           0.0099997
                  13,            0.023075,            0.021275,             0.15361,           0.0002668,            0.012576,          0.00033451,          0.00025281,            0.018715,             0.02174,             0.15352,           0.0099997,           0.0099997,           0.0099997
                  14,            0.024431,             0.02188,             0.15357,          0.00036365,            0.011525,          0.00037441,          0.00030672,            0.017863,            0.020453,             0.15349,           0.0099996,           0.0099996,           0.0099996
                  15,            0.023784,            0.021298,             0.15351,          0.00026928,           0.0086168,          0.00038622,           0.0003415,             0.02144,            0.021033,             0.15344,           0.0099996,           0.0099996,           0.0099996
                  16,            0.021144,            0.019315,             0.15347,          0.00082302,            0.016395,           0.0010935,          0.00080043,            0.020799,            0.020812,             0.15337,           0.0099995,           0.0099995,           0.0099995
                  17,            0.020491,                0.02,             0.15341,          0.00058466,            0.013818,           0.0015502,           0.0012768,            0.014903,             0.01796,             0.15334,           0.0099994,           0.0099994,           0.0099994
                  18,            0.019475,            0.019871,             0.15338,          0.00084846,            0.013215,           0.0013294,           0.0011472,            0.018781,            0.020751,             0.15331,           0.0099994,           0.0099994,           0.0099994
                  19,            0.020439,            0.020033,             0.15335,          0.00073438,            0.011468,           0.0011441,           0.0010149,            0.014501,            0.018404,             0.15328,           0.0099993,           0.0099993,           0.0099993
                  20,             0.01957,            0.020069,             0.15327,          0.00052144,            0.015786,           0.0012178,           0.0010896,            0.012654,            0.018058,             0.15323,           0.0099992,           0.0099992,           0.0099992
                  21,            0.019774,            0.019733,             0.15323,          0.00039777,            0.017036,           0.0010834,          0.00094429,            0.018518,            0.019993,             0.15319,           0.0099991,           0.0099991,           0.0099991
                  22,            0.020209,            0.019938,             0.15321,          0.00059559,            0.014801,            0.001266,           0.0010494,            0.016687,             0.01896,             0.15314,            0.009999,            0.009999,            0.009999
                  23,            0.019518,            0.019141,             0.15316,          0.00051133,           0.0098192,           0.0010762,          0.00097689,            0.013423,            0.018499,             0.15311,            0.009999,            0.009999,            0.009999
                  24,            0.020324,            0.020252,             0.15324,           0.0004137,            0.011773,           0.0011353,          0.00094367,            0.017341,            0.019441,             0.15307,           0.0099989,           0.0099989,           0.0099989
                  25,            0.021105,            0.020905,             0.15318,          0.00043139,             0.01166,           0.0010365,          0.00086888,            0.015035,            0.018991,             0.15303,           0.0099988,           0.0099988,           0.0099988
                  26,            0.019281,            0.018786,             0.15309,          0.00044413,            0.014806,           0.0014747,           0.0011861,            0.016656,            0.018667,             0.15297,           0.0099986,           0.0099986,           0.0099986
                  27,            0.019393,            0.019571,             0.15294,          0.00054723,            0.013393,           0.0012752,           0.0010914,             0.01405,            0.018213,             0.15293,           0.0099985,           0.0099985,           0.0099985
                  28,            0.018898,             0.01956,             0.15303,           0.0010748,            0.015917,           0.0018832,           0.0016676,            0.014158,            0.018733,             0.15288,           0.0099984,           0.0099984,           0.0099984
                  29,            0.018696,            0.018998,             0.15304,          0.00062383,            0.017721,           0.0014519,           0.0013021,            0.011651,            0.017306,             0.15283,           0.0099983,           0.0099983,           0.0099983
                  30,            0.017855,            0.019221,             0.15298,           0.0014328,            0.016998,           0.0020989,           0.0017412,            0.015343,            0.019942,             0.15275,           0.0099982,           0.0099982,           0.0099982
                  31,            0.019163,            0.019503,             0.15272,           0.0010385,            0.013756,           0.0024693,            0.002166,            0.011736,            0.017027,             0.15271,            0.009998,            0.009998,            0.009998
                  32,            0.018514,            0.018716,             0.15282,             0.44301,           0.0024308,           0.0027558,           0.0023231,            0.016227,            0.020217,             0.15266,           0.0099979,           0.0099979,           0.0099979
                  33,            0.017575,            0.018351,             0.15283,             0.39241,           0.0021954,           0.0026058,            0.002127,            0.014586,            0.018908,             0.15255,           0.0099978,           0.0099978,           0.0099978
                  34,             0.01762,            0.018915,             0.15261,             0.45427,           0.0012705,           0.0026137,           0.0021783,            0.013894,            0.018659,             0.15247,           0.0099976,           0.0099976,           0.0099976
                  35,            0.018461,            0.018841,              0.1527,             0.49318,           0.0018421,           0.0025505,           0.0020127,            0.013491,            0.017131,             0.15237,           0.0099975,           0.0099975,           0.0099975
                  36,            0.018547,            0.018797,             0.15245,             0.50849,           0.0027696,           0.0030207,            0.002329,            0.013645,            0.018407,             0.15221,           0.0099973,           0.0099973,           0.0099973
                  37,            0.017711,            0.018185,             0.15244,             0.50264,           0.0035454,              0.0031,           0.0021504,            0.012853,            0.017163,             0.15199,           0.0099972,           0.0099972,           0.0099972
                  38,            0.016614,            0.017917,             0.15243,             0.53229,           0.0046325,            0.003531,           0.0022646,            0.013976,            0.018126,             0.15186,            0.009997,            0.009997,            0.009997
                  39,            0.017085,            0.018776,             0.15231,              0.5357,           0.0045102,           0.0033196,            0.002462,            0.011418,            0.017138,             0.15179,           0.0099969,           0.0099969,           0.0099969
                  40,            0.015335,            0.018132,             0.15215,             0.49675,           0.0048345,            0.003008,           0.0020925,            0.011267,            0.015887,             0.15172,           0.0099967,           0.0099967,           0.0099967
                  41,            0.017165,            0.019147,             0.15201,             0.52457,           0.0050423,           0.0039304,           0.0028438,            0.012362,            0.016291,             0.15169,           0.0099965,           0.0099965,           0.0099965
                  42,            0.017697,            0.018445,             0.15175,             0.55906,           0.0042204,           0.0050515,           0.0034453,             0.01341,            0.017208,             0.15149,           0.0099964,           0.0099964,           0.0099964
                  43,             0.01785,            0.018638,             0.15128,           0.0013362,            0.024409,           0.0055904,            0.003732,            0.013893,            0.016966,             0.15163,           0.0099962,           0.0099962,           0.0099962
                  44,            0.016656,            0.018266,             0.15142,             0.48021,           0.0071285,           0.0061515,           0.0038898,            0.014547,            0.018089,             0.15112,            0.009996,            0.009996,            0.009996
                  45,            0.016943,            0.018685,             0.15133,           0.0037447,            0.028167,           0.0080688,           0.0062195,            0.013802,            0.018168,             0.15112,           0.0099958,           0.0099958,           0.0099958
                  46,            0.016496,            0.018061,               0.151,           0.0044942,            0.039041,           0.0098289,           0.0068725,            0.012469,            0.016823,             0.15134,           0.0099956,           0.0099956,           0.0099956
                  47,            0.016584,             0.01881,             0.15107,           0.0074462,            0.046751,             0.01671,             0.01273,            0.013379,             0.01759,             0.15061,           0.0099954,           0.0099954,           0.0099954
                  48,             0.01614,            0.017815,             0.15064,            0.010881,            0.053951,            0.019889,            0.014883,            0.013003,            0.017156,             0.15051,           0.0099952,           0.0099952,           0.0099952
                  49,             0.01505,            0.017175,             0.15023,            0.010336,            0.060823,            0.025435,            0.018832,            0.013039,            0.016397,             0.15011,            0.009995,            0.009995,            0.009995
                  50,            0.015847,            0.017389,              0.1503,            0.013363,            0.065993,              0.0303,            0.023844,            0.012847,            0.017008,             0.14987,           0.0099948,           0.0099948,           0.0099948
                  51,            0.015937,            0.017686,             0.14951,            0.015298,             0.07944,            0.037279,             0.02822,            0.012777,            0.017524,              0.1495,           0.0099946,           0.0099946,           0.0099946
                  52,            0.015811,            0.017688,             0.15032,            0.013006,            0.087535,            0.036157,            0.028473,            0.012333,            0.017216,             0.14924,           0.0099944,           0.0099944,           0.0099944
                  53,            0.016169,            0.017837,             0.14927,             0.01557,            0.096216,            0.046911,            0.031129,            0.013618,            0.017546,             0.14882,           0.0099941,           0.0099941,           0.0099941
                  54,            0.016751,             0.01822,             0.14922,            0.013169,            0.096803,            0.040911,            0.029862,            0.013407,            0.018178,             0.14863,           0.0099939,           0.0099939,           0.0099939
                  55,            0.015188,            0.017032,              0.1491,             0.54744,            0.047996,            0.053479,            0.038782,              0.0134,            0.017661,             0.14814,           0.0099937,           0.0099937,           0.0099937
                  56,            0.015777,            0.017474,             0.14829,             0.56293,            0.049592,            0.057794,            0.042372,            0.011502,            0.016668,             0.14774,           0.0099934,           0.0099934,           0.0099934
                  57,            0.017248,             0.01822,              0.1481,             0.56932,            0.058773,            0.059658,            0.037316,            0.013861,            0.017284,             0.14733,           0.0099932,           0.0099932,           0.0099932
                  58,            0.017832,            0.018136,             0.14818,             0.62886,            0.061946,            0.068374,            0.046179,            0.013728,            0.017432,             0.14703,            0.009993,            0.009993,            0.009993
                  59,            0.018381,            0.018608,             0.14691,             0.59037,            0.074131,            0.079389,            0.054401,            0.012726,            0.017183,             0.14645,           0.0099927,           0.0099927,           0.0099927
                  60,            0.015254,            0.017006,             0.14728,             0.56951,            0.085372,            0.086199,            0.059925,            0.013157,            0.017501,              0.1462,           0.0099925,           0.0099925,           0.0099925
                  61,            0.017819,            0.018458,             0.14646,             0.44997,            0.088846,            0.084504,            0.058039,            0.014344,            0.018353,             0.14566,           0.0099922,           0.0099922,           0.0099922
                  62,            0.017999,            0.017511,             0.14587,             0.51809,             0.10068,            0.098982,            0.068657,            0.014517,            0.018945,             0.14528,           0.0099919,           0.0099919,           0.0099919
                  63,              0.0174,            0.018283,             0.14641,             0.57824,             0.10148,             0.10555,            0.071476,            0.013424,            0.017742,             0.14498,           0.0099917,           0.0099917,           0.0099917
                  64,            0.017351,            0.017653,             0.14523,             0.48451,             0.10942,             0.10549,            0.069893,            0.014663,             0.01993,             0.14448,           0.0099914,           0.0099914,           0.0099914
                  65,            0.017173,            0.017942,             0.14495,             0.70908,             0.10378,             0.11507,            0.075733,            0.013692,            0.017428,             0.14379,           0.0099911,           0.0099911,           0.0099911
                  66,            0.017123,            0.017195,             0.14484,             0.35502,             0.13913,             0.11766,             0.06404,            0.015981,            0.018459,             0.14313,           0.0099908,           0.0099908,           0.0099908
                  67,            0.018249,             0.01759,             0.14414,             0.42048,             0.14556,             0.13349,            0.083307,            0.014111,            0.017767,             0.14259,           0.0099906,           0.0099906,           0.0099906
                  68,            0.017618,            0.017996,             0.14419,             0.58825,             0.12482,             0.12732,            0.083956,            0.014021,            0.019079,             0.14222,           0.0099903,           0.0099903,           0.0099903
                  69,            0.018813,            0.017995,             0.14327,             0.43723,             0.15821,             0.14909,            0.085463,            0.015964,            0.019485,             0.14176,             0.00999,             0.00999,             0.00999
                  70,            0.018131,            0.017724,             0.14354,             0.64295,             0.13746,             0.14874,            0.091042,            0.016125,             0.02015,             0.14134,           0.0099897,           0.0099897,           0.0099897
                  71,            0.017248,            0.017092,             0.14195,             0.57233,             0.15032,             0.15183,            0.087486,            0.014116,            0.017358,             0.14079,           0.0099894,           0.0099894,           0.0099894
                  72,            0.018311,            0.017597,             0.14194,             0.85884,             0.10665,             0.15306,            0.092288,            0.014956,            0.018133,              0.1406,           0.0099891,           0.0099891,           0.0099891
                  73,            0.018113,            0.017864,             0.14125,             0.56508,             0.15667,             0.15853,            0.090431,            0.015374,             0.01786,             0.13996,           0.0099888,           0.0099888,           0.0099888
                  74,            0.019015,            0.018068,             0.14084,             0.60265,             0.15616,             0.17264,            0.097214,            0.014709,            0.018013,             0.13971,           0.0099884,           0.0099884,           0.0099884
                  75,             0.01721,            0.017572,             0.14149,             0.58236,             0.17522,             0.17609,             0.10747,            0.014271,            0.017541,             0.13965,           0.0099881,           0.0099881,           0.0099881
                  76,            0.018026,            0.017807,             0.14017,             0.67884,             0.16408,             0.18415,             0.10546,            0.014431,            0.017576,             0.13955,           0.0099878,           0.0099878,           0.0099878
                  77,            0.018098,             0.01738,             0.13997,              0.6312,             0.19132,             0.19672,             0.11378,            0.015449,            0.018094,             0.13881,           0.0099875,           0.0099875,           0.0099875
                  78,            0.018439,            0.018084,             0.13945,             0.67731,             0.18076,             0.19025,             0.10832,            0.016133,            0.019397,             0.13836,           0.0099871,           0.0099871,           0.0099871
                  79,            0.018991,            0.017945,             0.13924,             0.70172,             0.15584,             0.17586,            0.083341,            0.017258,             0.01914,             0.13807,           0.0099868,           0.0099868,           0.0099868
                  80,            0.018872,            0.017614,             0.13916,             0.94666,            0.080036,             0.18381,             0.10506,            0.015759,             0.01874,              0.1377,           0.0099865,           0.0099865,           0.0099865
                  81,            0.018208,            0.016994,             0.13899,             0.71041,             0.16499,             0.18888,             0.10054,            0.017313,            0.019554,             0.13702,           0.0099861,           0.0099861,           0.0099861
                  82,            0.017683,             0.01664,             0.13819,             0.94601,             0.10783,             0.20762,             0.12201,            0.015202,            0.018265,             0.13656,           0.0099858,           0.0099858,           0.0099858
                  83,             0.01695,            0.016682,             0.13769,             0.95038,             0.10164,             0.20438,             0.11227,            0.015888,            0.018913,             0.13633,           0.0099854,           0.0099854,           0.0099854
                  84,            0.018511,            0.017714,             0.13644,             0.92161,              0.1256,             0.21845,             0.12247,            0.015069,            0.017472,             0.13561,           0.0099851,           0.0099851,           0.0099851
                  85,            0.018484,            0.017937,             0.13688,             0.93458,             0.11577,             0.21502,             0.12381,            0.015777,            0.018461,             0.13533,           0.0099847,           0.0099847,           0.0099847
                  86,            0.018117,            0.017186,              0.1364,              0.9357,             0.11439,             0.21771,             0.12947,            0.014734,            0.017612,             0.13493,           0.0099843,           0.0099843,           0.0099843
                  87,            0.019023,            0.018295,             0.13622,             0.93083,             0.11614,             0.22765,             0.12081,            0.016108,            0.017766,             0.13448,            0.009984,            0.009984,            0.009984
                  88,            0.019699,            0.018512,             0.13622,             0.90033,              0.1095,             0.19607,            0.088782,            0.017456,            0.017183,             0.13432,           0.0099836,           0.0099836,           0.0099836
                  89,            0.020453,            0.018488,              0.1349,             0.92289,             0.14616,             0.25181,             0.13892,            0.015853,            0.018236,             0.13372,           0.0099832,           0.0099832,           0.0099832
                  90,            0.019397,            0.017736,             0.13475,              0.9269,             0.13694,             0.24469,             0.12987,            0.016344,            0.018488,             0.13335,           0.0099828,           0.0099828,           0.0099828
                  91,            0.019509,            0.018212,             0.13497,             0.93021,             0.14172,             0.24579,             0.13112,            0.017027,            0.018749,             0.13294,           0.0099824,           0.0099824,           0.0099824
                  92,             0.01882,            0.017006,             0.13385,             0.92504,             0.14876,             0.27013,             0.14737,             0.01608,            0.018661,             0.13243,           0.0099821,           0.0099821,           0.0099821
                  93,            0.019344,            0.018262,             0.13415,             0.89278,             0.16435,             0.26096,             0.12839,             0.01697,            0.017763,             0.13246,           0.0099817,           0.0099817,           0.0099817
                  94,            0.019779,            0.017902,              0.1328,             0.90935,             0.17081,             0.27008,             0.14386,            0.016325,            0.017515,             0.13188,           0.0099813,           0.0099813,           0.0099813
                  95,            0.020237,            0.017523,             0.13306,             0.92632,             0.15766,             0.27299,             0.14253,            0.017141,            0.018845,             0.13153,           0.0099809,           0.0099809,           0.0099809
                  96,            0.020294,            0.018411,             0.13275,             0.92792,             0.17755,             0.28369,             0.15306,             0.01627,            0.017986,             0.13135,           0.0099804,           0.0099804,           0.0099804
                  97,            0.019657,            0.017965,             0.13248,             0.93701,             0.17035,             0.29456,              0.1642,            0.016042,            0.017885,             0.13072,             0.00998,             0.00998,             0.00998
                  98,            0.019053,            0.017273,             0.13203,             0.91414,             0.18518,             0.29799,             0.15843,            0.016502,            0.018054,             0.13043,           0.0099796,           0.0099796,           0.0099796
                  99,            0.019082,            0.016952,             0.13182,             0.91693,             0.16732,             0.27916,             0.14058,            0.016972,            0.017144,              0.1301,           0.0099792,           0.0099792,           0.0099792
                 100,            0.018903,            0.016929,             0.13147,             0.90785,             0.17611,             0.28821,             0.14336,            0.017506,            0.017611,             0.12977,           0.0099788,           0.0099788,           0.0099788
                 101,            0.019978,            0.017686,             0.13084,             0.92385,             0.19418,                0.31,             0.18054,            0.015404,             0.01699,             0.12952,           0.0099783,           0.0099783,           0.0099783
                 102,            0.019067,            0.017316,             0.13091,              0.8884,             0.19911,              0.2988,             0.15728,            0.017379,            0.018291,             0.12937,           0.0099779,           0.0099779,           0.0099779
                 103,            0.019134,            0.017258,             0.13056,             0.91565,             0.21222,             0.32433,             0.17837,            0.016747,            0.018528,             0.12908,           0.0099775,           0.0099775,           0.0099775
                 104,            0.020056,            0.017325,             0.13035,             0.88524,             0.18869,             0.28779,             0.14119,            0.018752,            0.018625,             0.12882,            0.009977,            0.009977,            0.009977
                 105,            0.021097,             0.01865,              0.1299,             0.91071,             0.22757,             0.33727,             0.18591,            0.015607,            0.017292,             0.12845,           0.0099766,           0.0099766,           0.0099766
                 106,            0.020542,            0.017811,             0.12974,             0.90691,             0.19777,             0.31315,             0.14809,            0.017954,            0.017862,             0.12811,           0.0099761,           0.0099761,           0.0099761
                 107,            0.019227,            0.017603,             0.12973,             0.90895,              0.2147,             0.32636,             0.17275,            0.016297,            0.017543,             0.12787,           0.0099757,           0.0099757,           0.0099757
                 108,            0.019663,            0.017914,             0.12889,              0.9074,             0.21849,              0.3428,             0.17728,            0.017316,            0.018113,              0.1274,           0.0099752,           0.0099752,           0.0099752
                 109,             0.02065,            0.017669,             0.12875,             0.91717,             0.23748,             0.36201,             0.19749,            0.015977,             0.01735,             0.12718,           0.0099747,           0.0099747,           0.0099747
                 110,             0.02035,            0.017866,             0.12859,             0.91089,             0.23389,             0.35011,             0.18916,            0.016045,            0.017062,             0.12683,           0.0099743,           0.0099743,           0.0099743
                 111,            0.020495,             0.01757,             0.12872,              0.9088,             0.20955,             0.33239,             0.17024,            0.017091,            0.017556,             0.12663,           0.0099738,           0.0099738,           0.0099738
