               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088904,            0.018697,                   0,            0.014965,             0.12766,           0.0070124,          0.00095937,            0.071055,            0.015854,                   0,             0.00018,             0.00018,             0.09838
                   1,            0.095834,            0.025252,                   0,            0.014912,              0.2766,           0.0090099,           0.0015216,             0.06845,            0.016301,                   0,             0.00037,             0.00037,             0.09667
                   2,            0.087212,             0.02599,                   0,            0.015236,              0.3617,            0.009607,           0.0017423,            0.067256,            0.016305,                   0,          0.00055999,          0.00055999,             0.09496
                   3,            0.085114,            0.026379,                   0,            0.023816,              0.2766,            0.014672,           0.0026878,            0.065305,            0.016216,                   0,          0.00074996,          0.00074996,             0.09325
                   4,            0.085332,            0.024955,                   0,            0.030219,             0.29787,             0.01814,           0.0032728,            0.062184,            0.016386,                   0,          0.00093991,          0.00093991,             0.09154
                   5,            0.074994,            0.021755,                   0,            0.030043,             0.31915,            0.018853,           0.0037997,            0.057499,            0.016693,                   0,           0.0011298,           0.0011298,             0.08983
                   6,            0.075988,            0.031977,                   0,            0.036605,             0.29787,            0.023665,           0.0049682,            0.051284,            0.016992,                   0,           0.0013197,           0.0013197,             0.08812
                   7,            0.066994,            0.030233,                   0,            0.062456,              0.3617,            0.048962,            0.014129,            0.045286,            0.016984,                   0,           0.0015095,           0.0015095,             0.08641
                   8,            0.061996,            0.025032,                   0,            0.085988,             0.40426,            0.073297,            0.021666,            0.042791,            0.016924,                   0,           0.0016993,           0.0016993,            0.084699
                   9,             0.06368,            0.021833,                   0,            0.090443,              0.7234,             0.08425,            0.025661,            0.041353,            0.016823,                   0,           0.0018891,           0.0018891,            0.082989
                  10,            0.062607,            0.032933,                   0,             0.12773,              0.6383,             0.11759,             0.03459,            0.039889,            0.016856,                   0,           0.0020787,           0.0020787,            0.081279
                  11,            0.055974,            0.020367,                   0,             0.19149,             0.76596,             0.18439,            0.058201,            0.038654,            0.016606,                   0,           0.0022683,           0.0022683,            0.079568
                  12,            0.060328,            0.025416,                   0,             0.23725,             0.70213,             0.22475,            0.081368,            0.036484,            0.016861,                   0,           0.0024578,           0.0024578,            0.077858
                  13,            0.051458,            0.028983,                   0,             0.27954,             0.85106,              0.2968,             0.11967,            0.034867,            0.016813,                   0,           0.0026472,           0.0026472,            0.076147
                  14,            0.052042,            0.027543,                   0,             0.34591,             0.80851,             0.34609,              0.1456,            0.033338,            0.016746,                   0,           0.0028366,           0.0028366,            0.074437
                  15,            0.045843,            0.028142,                   0,             0.40249,             0.89362,             0.39958,             0.18464,            0.032359,            0.016602,                   0,           0.0030258,           0.0030258,            0.072726
                  16,            0.043426,            0.027691,                   0,             0.54097,             0.85254,             0.54214,             0.26508,             0.03165,            0.016548,                   0,           0.0032149,           0.0032149,            0.071015
