               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05979,            0.022047,            0.026496,                   0,                   0,                   0,                   0,             0.08021,            0.019424,            0.035254,             0.00131,             0.00131,             0.08821
                   1,            0.057424,            0.018244,            0.026023,                   0,                   0,                   0,                   0,            0.076152,            0.016164,            0.033654,           0.0026299,           0.0026299,             0.07633
                   2,            0.051914,            0.014882,            0.023075,                   0,                   0,                   0,                   0,            0.072763,            0.013857,            0.032159,           0.0039496,           0.0039496,             0.06445
                   3,            0.050677,            0.012864,             0.02307,                   0,                   0,                   0,                   0,            0.070196,            0.012347,            0.030607,           0.0052688,           0.0052688,            0.052569
                   4,             0.04965,            0.011543,            0.020722,                   0,                   0,                   0,                   0,            0.067334,            0.011742,               0.029,           0.0065874,           0.0065874,            0.040687
                   5,            0.043178,             0.01049,            0.018295,                   0,                   0,                   0,                   0,            0.064918,            0.011254,             0.02752,           0.0079051,           0.0079051,            0.028805
                   6,            0.046981,            0.010994,            0.019408,          0.00018093,            0.012987,          0.00010191,          4.1304e-05,            0.062218,            0.010919,            0.025588,           0.0092218,           0.0092218,            0.016922
                   7,            0.051034,            0.011896,            0.021072,                   0,                   0,                   0,                   0,            0.062935,           0.0098051,            0.023937,           0.0099879,           0.0099879,           0.0099879
                   8,            0.044949,            0.010045,            0.017537,             0.87593,           0.0064935,           0.0047538,          0.00061363,            0.059034,            0.010444,            0.022994,           0.0099879,           0.0099879,           0.0099879
                   9,            0.040161,           0.0095881,            0.017142,             0.87919,           0.0064935,           0.0041585,          0.00048564,            0.056494,            0.010458,            0.022453,           0.0099842,           0.0099842,           0.0099842
                  10,            0.043547,            0.010517,            0.018705,             0.88899,            0.032468,            0.014661,           0.0031259,            0.054128,            0.010553,            0.022114,             0.00998,             0.00998,             0.00998
                  11,             0.03903,            0.010725,            0.016744,             0.68376,            0.090495,            0.026627,           0.0087074,            0.049977,              0.0113,            0.021427,           0.0099753,           0.0099753,           0.0099753
                  12,            0.036315,            0.011645,            0.017668,             0.31448,             0.12834,            0.038668,            0.011829,            0.048226,            0.011203,            0.021221,           0.0099702,           0.0099702,           0.0099702
