               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.010039,            0.018409,            0.013343,             0.93067,             0.91363,             0.93239,             0.84905,            0.010957,            0.022885,            0.013778,             0.00149,             0.00149,             0.08659
                   1,             0.01193,            0.019009,            0.012073,             0.93979,             0.91579,             0.94558,             0.85593,            0.011444,            0.021159,            0.010587,             0.00299,             0.00299,             0.07309
                   2,            0.013334,            0.018648,           0.0096932,              0.9524,             0.91882,             0.95662,             0.86865,            0.014697,            0.020435,           0.0075283,             0.00449,             0.00449,             0.05959
                   3,            0.014979,            0.018567,           0.0071138,             0.95255,             0.93796,             0.96354,              0.8685,             0.01406,            0.020161,           0.0069248,             0.00599,             0.00599,             0.04609
                   4,            0.014555,            0.019559,           0.0072402,             0.96165,             0.93775,             0.97292,             0.87052,            0.011933,             0.02004,           0.0062385,           0.0074899,           0.0074899,             0.03259
                   5,            0.015301,            0.018724,            0.006536,             0.96565,             0.94463,             0.97762,               0.856,             0.01313,            0.020068,           0.0052963,           0.0089898,           0.0089898,             0.01909
                   6,            0.015477,            0.019638,            0.005353,             0.96928,             0.95876,             0.98138,             0.80612,            0.017406,            0.021931,            0.004573,           0.0099997,           0.0099997,           0.0099997
                   7,            0.014432,            0.018982,           0.0058711,             0.97585,             0.96212,             0.98619,             0.83375,            0.015463,            0.022954,           0.0036952,           0.0099997,           0.0099997,           0.0099997
                   8,            0.016089,            0.020225,           0.0051706,             0.97552,             0.96298,             0.98751,             0.82318,            0.016702,            0.022714,           0.0034751,           0.0099996,           0.0099996,           0.0099996
                   9,            0.016062,            0.020555,           0.0045684,             0.96909,             0.97139,             0.98891,             0.86146,            0.013112,            0.019117,           0.0032925,           0.0099994,           0.0099994,           0.0099994
                  10,            0.015428,             0.02116,            0.003864,             0.97808,              0.9789,             0.99097,             0.85737,            0.013663,            0.020314,           0.0026787,           0.0099993,           0.0099993,           0.0099993
                  11,            0.014366,            0.020428,           0.0034482,              0.9895,             0.98396,             0.99341,             0.84539,            0.015271,            0.024143,           0.0018592,           0.0099991,           0.0099991,           0.0099991
                  12,            0.014733,             0.01991,           0.0031344,             0.98048,              0.9901,             0.99402,             0.84458,            0.015069,             0.02074,            0.001759,            0.009999,            0.009999,            0.009999
                  13,            0.015113,            0.020395,           0.0032279,              0.9908,             0.99322,             0.99416,             0.85823,            0.014243,            0.019534,           0.0012534,           0.0099988,           0.0099988,           0.0099988
                  14,            0.014236,            0.018092,           0.0034212,             0.98855,             0.99266,              0.9942,             0.86573,            0.013835,            0.019558,           0.0013879,           0.0099985,           0.0099985,           0.0099985
                  15,            0.015501,            0.020495,           0.0043972,             0.97761,             0.98424,             0.99368,             0.87556,            0.012524,            0.019243,           0.0021138,           0.0099983,           0.0099983,           0.0099983
                  16,            0.013895,            0.019236,           0.0041353,             0.98615,             0.98565,             0.99347,             0.86868,            0.012925,            0.019405,           0.0020006,            0.009998,            0.009998,            0.009998
                  17,            0.013611,            0.018963,           0.0040143,             0.98801,             0.99009,             0.99446,              0.8806,            0.013107,            0.018698,           0.0015526,           0.0099978,           0.0099978,           0.0099978
                  18,            0.014394,            0.018583,           0.0026733,             0.99141,             0.99748,             0.99484,             0.90108,            0.010794,            0.017963,          0.00098492,           0.0099975,           0.0099975,           0.0099975
                  19,             0.01373,            0.019509,           0.0035912,             0.99172,             0.99664,             0.99468,             0.89477,            0.011072,            0.017993,           0.0010394,           0.0099972,           0.0099972,           0.0099972
                  20,            0.012841,            0.017688,           0.0028346,             0.98482,              0.9909,             0.99479,             0.90535,            0.010355,            0.016554,           0.0013845,           0.0099969,           0.0099969,           0.0099969
                  21,            0.013729,            0.019593,           0.0026243,             0.99578,              0.9973,              0.9949,             0.89796,            0.011389,            0.017048,          0.00074498,           0.0099965,           0.0099965,           0.0099965
