               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09658,            0.046247,             0.12764,                   0,                   0,                   0,                   0,            0.088577,            0.034478,             0.11288,               7e-05,               7e-05,             0.09937
                   1,            0.092182,            0.047364,             0.12233,                   0,                   0,                   0,                   0,            0.084888,            0.036738,             0.10889,             0.00015,             0.00015,             0.09865
                   2,            0.087828,            0.045956,             0.12073,                   0,                   0,                   0,                   0,            0.082512,            0.038131,              0.1071,             0.00023,             0.00023,             0.09793
                   3,             0.08503,            0.043292,               0.108,                   0,                   0,                   0,                   0,            0.079901,            0.039208,             0.10287,          0.00030999,          0.00030999,             0.09721
                   4,            0.088566,            0.071814,             0.11354,            0.011364,            0.035714,           0.0067535,           0.0047275,            0.076922,            0.040003,            0.096512,          0.00038998,          0.00038998,             0.09649
                   5,            0.082621,            0.046986,            0.086349,            0.044657,            0.070036,            0.017215,            0.011187,            0.073531,            0.040207,            0.087815,          0.00046996,          0.00046996,             0.09577
                   6,            0.079041,            0.051126,             0.10405,             0.06248,            0.071429,             0.02861,            0.015054,            0.070693,            0.039572,            0.078803,          0.00054993,          0.00054993,             0.09505
                   7,            0.074168,            0.044146,            0.094688,                0.75,            0.071404,             0.11622,            0.043612,            0.067691,            0.036743,            0.066115,          0.00062989,          0.00062989,             0.09433
                   8,            0.081906,            0.056476,             0.08248,             0.60409,             0.17857,             0.15599,            0.046921,            0.065897,            0.033757,            0.058805,          0.00070984,          0.00070984,             0.09361
                   9,            0.075238,            0.046305,            0.063343,             0.66665,             0.21424,             0.21949,             0.05181,            0.064443,            0.029666,            0.051245,          0.00078978,          0.00078978,             0.09289
                  10,            0.075615,            0.041305,            0.061202,             0.66665,             0.21429,             0.20581,            0.037632,            0.063289,            0.027287,            0.046908,           0.0008697,           0.0008697,             0.09217
                  11,            0.074252,            0.038497,            0.063159,             0.66657,             0.21429,             0.21527,            0.033251,            0.062026,            0.025339,            0.042661,           0.0009496,           0.0009496,             0.09145
                  12,            0.070077,             0.05972,            0.052461,              0.6665,             0.21429,             0.22555,            0.032531,            0.060817,            0.023926,            0.039591,           0.0010295,           0.0010295,            0.090729
                  13,            0.063372,            0.039036,            0.040865,             0.74984,             0.21429,             0.29433,            0.048392,            0.059239,            0.022635,            0.036353,           0.0011093,           0.0011093,            0.090009
                  14,            0.062368,            0.044223,            0.043988,             0.64212,             0.38636,             0.26005,            0.047002,            0.058482,            0.022158,            0.034694,           0.0011892,           0.0011892,            0.089289
