               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097581,            0.072153,             0.09435,                   0,                   0,                   0,                   0,            0.077232,            0.093421,            0.093608,             0.00196,             0.00196,             0.08236
                   1,            0.072318,            0.078509,            0.091745,          0.00034403,           0.0073769,          0.00026841,          0.00014645,            0.052356,            0.099721,            0.092376,             0.00393,             0.00393,             0.06463
                   2,            0.057714,            0.077607,            0.092515,             0.23329,             0.34879,            0.047531,            0.029312,            0.039549,            0.081837,            0.091576,           0.0058999,           0.0058999,              0.0469
                   3,            0.057132,            0.049373,            0.090565,             0.22035,             0.22302,            0.029691,             0.01508,            0.046278,            0.047936,            0.090238,           0.0078696,           0.0078696,             0.02917
                   4,            0.058361,            0.034423,             0.08958,             0.62009,            0.019654,            0.018993,           0.0063299,            0.067193,            0.038946,            0.088969,            0.009839,            0.009839,            0.011439
                   5,            0.068174,             0.03005,            0.089724,             0.66831,              0.0707,             0.04917,            0.019508,             0.05748,            0.036595,            0.088297,           0.0099985,           0.0099985,           0.0099985
                   6,            0.062917,             0.02968,            0.088208,             0.72263,            0.061284,            0.050618,            0.016602,            0.054752,            0.035111,            0.087892,           0.0099985,           0.0099985,           0.0099985
                   7,            0.058519,            0.029405,            0.088374,             0.15572,             0.20913,            0.050842,            0.022815,             0.04193,            0.035029,            0.087677,           0.0099978,           0.0099978,           0.0099978
                   8,            0.054837,             0.02814,            0.088928,            0.067221,             0.39724,            0.048299,            0.023701,            0.047144,            0.032056,             0.08739,            0.009997,            0.009997,            0.009997
                   9,            0.049513,            0.026367,            0.086798,            0.038149,             0.47894,            0.046426,            0.017257,            0.055389,            0.033653,            0.087061,           0.0099961,           0.0099961,           0.0099961
                  10,            0.052426,            0.027332,            0.087029,             0.02333,             0.48787,             0.05071,            0.015733,            0.050073,            0.031826,            0.086623,            0.009995,            0.009995,            0.009995
                  11,            0.049549,            0.025836,            0.088067,            0.040129,             0.47244,            0.054347,            0.023315,            0.039957,            0.030316,            0.086299,           0.0099938,           0.0099938,           0.0099938
                  12,            0.042255,            0.024853,            0.086108,            0.038257,             0.55082,            0.057004,            0.021825,            0.043249,             0.02987,             0.08597,           0.0099925,           0.0099925,           0.0099925
                  13,             0.04376,            0.023855,            0.087834,             0.61622,            0.078341,            0.064758,             0.02877,            0.037882,            0.029234,            0.085563,           0.0099911,           0.0099911,           0.0099911
                  14,            0.041889,            0.024559,            0.085992,             0.74812,            0.054845,             0.07391,            0.030155,            0.035092,             0.02783,            0.085203,           0.0099896,           0.0099896,           0.0099896
                  15,            0.036602,            0.024251,            0.085001,             0.64341,            0.094915,             0.08323,            0.030826,            0.040169,            0.032985,            0.084882,           0.0099879,           0.0099879,           0.0099879
                  16,            0.037279,            0.025438,            0.086026,             0.33621,             0.17001,            0.083414,            0.029412,             0.03334,            0.030944,             0.08459,           0.0099861,           0.0099861,           0.0099861
                  17,            0.036136,            0.025584,            0.085545,             0.43675,             0.12102,            0.088886,            0.033986,            0.031694,            0.030502,            0.084388,           0.0099842,           0.0099842,           0.0099842
                  18,            0.035363,            0.027082,            0.087362,             0.45571,             0.15049,             0.10984,            0.048919,            0.027002,            0.029232,            0.084313,           0.0099822,           0.0099822,           0.0099822
                  19,             0.03319,            0.027011,            0.086089,            0.097581,             0.48476,             0.12665,            0.065819,            0.026241,             0.03025,            0.083974,             0.00998,             0.00998,             0.00998
                  20,            0.034067,            0.024476,            0.085756,              0.3578,             0.21961,             0.11962,            0.076254,            0.028439,            0.029841,            0.084073,           0.0099778,           0.0099778,           0.0099778
                  21,             0.04095,            0.026122,            0.085613,             0.83239,            0.087093,             0.10997,            0.046287,            0.029265,            0.028985,             0.08389,           0.0099753,           0.0099753,           0.0099753
                  22,            0.032554,            0.025044,            0.086501,             0.70214,             0.12397,             0.11914,            0.061453,            0.027635,            0.029058,            0.083569,           0.0099728,           0.0099728,           0.0099728
                  23,            0.032673,            0.026442,            0.087288,             0.64548,             0.14593,             0.12113,            0.074158,             0.02908,            0.029826,            0.083446,           0.0099702,           0.0099702,           0.0099702
                  24,            0.030211,            0.024959,            0.086251,             0.80881,             0.11425,             0.14283,            0.083367,             0.02168,            0.027566,            0.083194,           0.0099674,           0.0099674,           0.0099674
                  25,            0.026203,             0.02396,            0.086063,             0.78741,             0.11166,             0.13838,             0.07942,            0.029194,            0.030192,            0.083315,           0.0099645,           0.0099645,           0.0099645
                  26,             0.02669,             0.02228,            0.083374,             0.17683,             0.43928,             0.14682,             0.10361,            0.018636,            0.025805,            0.083309,           0.0099615,           0.0099615,           0.0099615
                  27,            0.026349,            0.023085,            0.085099,             0.81345,             0.10711,             0.14724,            0.081387,            0.032082,            0.029474,             0.08297,           0.0099584,           0.0099584,           0.0099584
                  28,            0.031176,            0.024325,            0.085823,             0.84986,             0.10838,             0.14823,            0.094359,            0.021215,            0.026224,            0.082891,           0.0099551,           0.0099551,           0.0099551
                  29,            0.026812,              0.0232,            0.083496,              0.8343,             0.11451,              0.1513,             0.10634,            0.019871,            0.026821,            0.082647,           0.0099517,           0.0099517,           0.0099517
                  30,             0.02474,            0.020972,            0.083214,             0.83604,             0.12576,             0.15198,             0.11309,            0.017493,            0.026375,            0.082418,           0.0099482,           0.0099482,           0.0099482
                  31,            0.027026,            0.024153,            0.084659,              0.8367,             0.11566,             0.14983,            0.093614,             0.02332,            0.027492,             0.08213,           0.0099446,           0.0099446,           0.0099446
                  32,            0.032157,            0.024933,            0.084421,             0.62172,             0.20603,             0.15572,             0.11043,            0.023079,            0.029474,            0.081786,           0.0099409,           0.0099409,           0.0099409
                  33,            0.027596,            0.027091,             0.08344,             0.61423,             0.18822,             0.14829,             0.10711,             0.01828,            0.028922,             0.08158,            0.009937,            0.009937,            0.009937
                  34,            0.025926,            0.024344,            0.083092,             0.65301,             0.17754,             0.15733,             0.11627,            0.020833,            0.027959,            0.081246,            0.009933,            0.009933,            0.009933
                  35,            0.024615,            0.022176,            0.081807,             0.59006,             0.19569,             0.16017,             0.12339,            0.018853,            0.026476,            0.081058,           0.0099289,           0.0099289,           0.0099289
                  36,            0.024989,            0.022715,            0.083788,             0.61586,             0.20442,             0.17173,             0.11463,            0.022713,            0.027156,            0.080793,           0.0099246,           0.0099246,           0.0099246
                  37,            0.024945,            0.023283,            0.084426,             0.61941,              0.2022,             0.17723,             0.11859,            0.019514,            0.024769,            0.080509,           0.0099203,           0.0099203,           0.0099203
                  38,            0.023752,            0.022372,            0.085018,             0.54286,             0.24382,             0.19055,             0.14953,            0.024555,            0.028585,            0.080379,           0.0099158,           0.0099158,           0.0099158
                  39,            0.023591,            0.022526,            0.084659,             0.51977,             0.24373,             0.19018,             0.14189,            0.017516,            0.024589,            0.080267,           0.0099112,           0.0099112,           0.0099112
                  40,            0.020589,            0.022627,             0.08391,             0.58791,             0.23723,             0.18648,             0.14624,            0.016364,            0.029361,            0.079989,           0.0099065,           0.0099065,           0.0099065
                  41,            0.022769,            0.022708,            0.083927,             0.64879,             0.19733,             0.17519,             0.10367,            0.027037,            0.028861,            0.079706,           0.0099017,           0.0099017,           0.0099017
                  42,            0.026873,            0.023677,            0.083584,             0.33255,             0.37973,             0.17527,             0.11731,            0.016518,            0.024184,            0.079717,           0.0098967,           0.0098967,           0.0098967
                  43,            0.021724,            0.019852,            0.083007,              0.7031,             0.17979,             0.18408,             0.13347,            0.018309,            0.025163,            0.079475,           0.0098916,           0.0098916,           0.0098916
                  44,            0.026168,            0.022719,            0.082147,             0.67339,              0.1915,             0.18144,             0.10996,             0.02231,            0.025587,            0.079226,           0.0098864,           0.0098864,           0.0098864
                  45,            0.028476,            0.023287,            0.083178,             0.38928,             0.32547,             0.18933,             0.14197,            0.016094,            0.024754,            0.079189,           0.0098811,           0.0098811,           0.0098811
                  46,            0.024496,            0.022406,            0.084008,             0.60664,             0.22346,             0.20215,             0.14439,            0.020991,            0.026316,            0.078855,           0.0098757,           0.0098757,           0.0098757
                  47,            0.024011,            0.021974,            0.083297,             0.40433,             0.31048,             0.19759,             0.13788,            0.019772,            0.025496,            0.078435,           0.0098701,           0.0098701,           0.0098701
                  48,            0.025567,            0.023447,            0.082844,             0.51673,             0.26922,             0.21164,             0.16545,            0.017383,            0.025291,            0.078328,           0.0098644,           0.0098644,           0.0098644
                  49,            0.024476,             0.02229,            0.083083,             0.71483,             0.19135,             0.20949,              0.1347,            0.024788,            0.026573,            0.078167,           0.0098586,           0.0098586,           0.0098586
                  50,            0.022902,            0.021666,             0.08377,             0.53712,             0.26489,             0.21177,             0.14616,            0.016649,            0.024464,            0.077743,           0.0098527,           0.0098527,           0.0098527
                  51,            0.021537,            0.021008,            0.082171,             0.49497,             0.29085,             0.20302,             0.14201,            0.021248,            0.026334,            0.077455,           0.0098467,           0.0098467,           0.0098467
                  52,            0.027588,            0.024819,            0.083385,             0.43151,             0.26907,             0.20514,              0.1505,            0.016352,            0.023847,            0.077318,           0.0098405,           0.0098405,           0.0098405
                  53,            0.021362,            0.021996,            0.081791,             0.45408,             0.28317,             0.22065,             0.17679,            0.016277,            0.024625,            0.077038,           0.0098342,           0.0098342,           0.0098342
                  54,             0.02009,            0.020259,            0.081353,             0.37569,             0.29405,             0.21446,             0.14783,            0.019447,             0.02433,            0.076598,           0.0098278,           0.0098278,           0.0098278
                  55,            0.022109,            0.019984,            0.081194,             0.49728,              0.2656,             0.22202,             0.16057,            0.016875,            0.023316,            0.076449,           0.0098213,           0.0098213,           0.0098213
                  56,            0.021432,            0.020832,            0.080802,              0.5822,              0.2344,              0.2338,              0.1609,            0.019595,            0.024532,              0.0762,           0.0098147,           0.0098147,           0.0098147
                  57,            0.020497,            0.020449,            0.081321,             0.64936,             0.23325,             0.23917,             0.19194,            0.017123,             0.02472,            0.075999,           0.0098079,           0.0098079,           0.0098079
                  58,            0.021132,            0.019388,             0.08122,             0.63949,             0.21589,             0.24921,              0.1942,             0.01722,            0.023663,             0.07587,           0.0098011,           0.0098011,           0.0098011
