               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062366,            0.044359,             0.13105,             0.01307,             0.27465,           0.0038382,           0.0028983,            0.022177,            0.026725,             0.12894,           0.0033318,           0.0033318,            0.070014
                   1,            0.027782,            0.021266,             0.12692,             0.29881,            0.036197,            0.008535,           0.0070105,            0.019757,            0.024373,              0.1259,           0.0066651,           0.0066651,            0.040014
                   2,              0.0257,            0.020427,             0.12449,             0.46822,            0.057393,            0.035052,            0.026001,            0.017793,            0.023416,             0.12103,           0.0099984,           0.0099984,            0.010013
                   3,            0.022335,            0.019351,             0.11799,             0.91709,             0.09491,             0.16123,             0.13023,            0.013321,            0.022496,             0.10914,           0.0099997,           0.0099997,           0.0099997
                   4,            0.021027,            0.018395,             0.10581,             0.82313,             0.25957,             0.32558,             0.24431,             0.01532,            0.022354,             0.09347,           0.0099997,           0.0099997,           0.0099997
                   5,            0.022529,            0.018757,             0.09223,             0.83486,             0.40894,             0.50227,               0.329,            0.019713,            0.024856,            0.080133,           0.0099994,           0.0099994,           0.0099994
                   6,            0.023934,            0.019243,            0.079266,             0.84335,             0.57618,             0.66849,             0.44286,            0.018776,            0.024971,            0.066958,           0.0099991,           0.0099991,           0.0099991
                   7,            0.025432,            0.019758,            0.067641,             0.87067,             0.62137,             0.72068,              0.5036,            0.020467,            0.027308,            0.057585,           0.0099988,           0.0099988,           0.0099988
                   8,            0.026046,            0.019799,            0.059067,             0.87934,             0.66592,             0.75554,             0.51574,             0.02068,            0.025833,            0.049329,           0.0099983,           0.0099983,           0.0099983
                   9,            0.025813,            0.019991,            0.051328,             0.89786,             0.68943,              0.8053,             0.60639,            0.018184,             0.02698,            0.042928,           0.0099978,           0.0099978,           0.0099978
                  10,             0.02705,            0.020961,            0.046356,             0.84269,             0.73417,             0.81946,             0.54215,            0.022505,            0.027386,            0.037716,           0.0099972,           0.0099972,           0.0099972
                  11,            0.026581,            0.021008,            0.040551,             0.86391,             0.77055,             0.87452,             0.61642,            0.021633,            0.028226,            0.033448,           0.0099965,           0.0099965,           0.0099965
                  12,            0.026935,            0.020918,            0.036841,             0.86799,              0.8181,              0.8992,             0.64308,            0.019944,            0.026801,            0.029469,           0.0099958,           0.0099958,           0.0099958
                  13,            0.026275,            0.021172,            0.034296,             0.85651,             0.81561,             0.88919,             0.58886,            0.021894,             0.02709,            0.027957,            0.009995,            0.009995,            0.009995
                  14,            0.026362,            0.021191,            0.031454,             0.89172,             0.83636,             0.91521,             0.62804,            0.021909,            0.026848,            0.025137,           0.0099941,           0.0099941,           0.0099941
                  15,            0.026301,            0.021262,            0.029485,             0.87496,             0.85412,             0.92527,             0.68705,            0.019961,            0.027124,            0.023349,           0.0099932,           0.0099932,           0.0099932
                  16,            0.026125,            0.021262,            0.028223,             0.88636,             0.87731,             0.92229,             0.68742,            0.018602,            0.026575,            0.021183,           0.0099922,           0.0099922,           0.0099922
                  17,            0.025756,             0.02132,            0.026319,             0.87523,             0.87744,             0.91734,             0.66426,            0.020306,             0.02673,            0.020168,           0.0099911,           0.0099911,           0.0099911
                  18,            0.025128,            0.021292,            0.026236,             0.90807,             0.88817,             0.94335,             0.71218,            0.017915,            0.025643,            0.018128,             0.00999,             0.00999,             0.00999
                  19,            0.024711,            0.021045,            0.024061,             0.91522,             0.88084,             0.94294,             0.70946,            0.018805,            0.025873,            0.017201,           0.0099888,           0.0099888,           0.0099888
                  20,            0.024954,            0.021297,            0.023466,              0.9257,              0.9026,             0.94763,             0.70298,            0.019434,             0.02543,            0.015966,           0.0099875,           0.0099875,           0.0099875
                  21,            0.024723,            0.021386,            0.023192,             0.92566,               0.909,             0.96136,             0.73833,            0.017687,            0.025111,            0.014817,           0.0099861,           0.0099861,           0.0099861
                  22,            0.024387,            0.021215,            0.022064,             0.93495,              0.9137,             0.96062,             0.74594,            0.017593,            0.025347,            0.013981,           0.0099847,           0.0099847,           0.0099847
                  23,             0.02434,            0.020943,            0.021112,               0.934,             0.92933,             0.96373,             0.76933,             0.01674,            0.024812,            0.013216,           0.0099832,           0.0099832,           0.0099832
                  24,            0.024353,            0.021089,            0.020738,             0.95333,             0.93768,             0.96927,             0.77924,             0.01652,            0.024994,            0.012798,           0.0099817,           0.0099817,           0.0099817
